date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:06:57	159951/159951	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Jan%202025%2018:06:56%20GMT	https://attracionemen.com.br/	C:/Users/Paulo/Desktop/perfume%20atracione/Atracione/attracionemen.com.br/index.html	(from )
15:06:57	114/114	---M-Z	200	added ('OK')	text/plain	date:Thu,%2016%20Jan%202025%2018:06:56%20GMT	https://attracionemen.com.br/robots.txt		(from )
15:06:57	5501/5501	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Aug%202024%2011:45:30%20GMT	https://attracionemen.com.br/wp-content/themes/hello-elementor/style.min.css?ver=3.1.1	C:/Users/Paulo/Desktop/perfume%20atracione/Atracione/attracionemen.com.br/wp-content/themes/hello-elementor/style.minb12b.css	(from https://attracionemen.com.br/)
15:06:57	5146/5146	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Aug%202024%2011:45:30%20GMT	https://attracionemen.com.br/wp-content/themes/hello-elementor/theme.min.css?ver=3.1.1	C:/Users/Paulo/Desktop/perfume%20atracione/Atracione/attracionemen.com.br/wp-content/themes/hello-elementor/theme.minb12b.css	(from https://attracionemen.com.br/)
15:06:57	1926/1926	---M--	200	added ('OK')	application/rss+xml	etag:%22025573c2800ed960766c9875a092d9d0%22	https://attracionemen.com.br/feed/	C:/Users/Paulo/Desktop/perfume%20atracione/Atracione/attracionemen.com.br/feed/index.html	(from https://attracionemen.com.br/)
15:06:57	7212/7212	---M-Z	200	added ('OK')	text/css	date:Wed,%2014%20Aug%202024%2011:45:30%20GMT	https://attracionemen.com.br/wp-content/themes/hello-elementor/header-footer.min.css?ver=3.1.1	C:/Users/Paulo/Desktop/perfume%20atracione/Atracione/attracionemen.com.br/wp-content/themes/hello-elementor/header-footer.minb12b.css	(from https://attracionemen.com.br/)
15:06:58	60575/60575	---M-Z	200	added ('OK')	text/css	date:Sun,%2024%20Nov%202024%2017:11:25%20GMT	https://attracionemen.com.br/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.25.10	C:/Users/Paulo/Desktop/perfume%20atracione/Atracione/attracionemen.com.br/wp-content/plugins/elementor/assets/css/frontend.min18be.css	(from https://attracionemen.com.br/)
15:06:58	1693/1693	---M--	200	added ('OK')	application/rss+xml	etag:%22025573c2800ed960766c9875a092d9d0%22	https://attracionemen.com.br/comments/feed/	C:/Users/Paulo/Desktop/perfume%20atracione/Atracione/attracionemen.com.br/comments/feed/index.html	(from https://attracionemen.com.br/)
15:06:58	1397/1397	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Jan%202025%2002:59:48%20GMT	https://attracionemen.com.br/wp-content/uploads/elementor/css/post-5.css?ver=1736823588	C:/Users/Paulo/Desktop/perfume%20atracione/Atracione/attracionemen.com.br/wp-content/uploads/elementor/css/post-56cb5.css	(from https://attracionemen.com.br/)
15:06:58	16471/16471	---M-Z	200	added ('OK')	text/css	date:Sun,%2024%20Nov%202024%2017:11:25%20GMT	https://attracionemen.com.br/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	C:/Users/Paulo/Desktop/perfume%20atracione/Atracione/attracionemen.com.br/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from https://attracionemen.com.br/)
